年龄,收入,孩子数量,家庭人口数,在现住址时间,在现工作时间,住房种类,国籍,信用卡类型,是否违约
46,0,0,2,15,33,租住,德国,支票账户,0
34,3200,4,6,144,54,自有,土耳其,无信用卡,1
31,3300,3,5,108,120,租住,土耳其,无信用卡,1
39,1500,0,1,192,6,租住,德国,无信用卡,1
32,0,3,5,48,108,租住,德国,支票账户,0
23,0,0,1,192,60,租住,德国,支票账户,1
42,1900,0,2,144,30,租住,德国,无信用卡,0
35,0,2,4,54,168,租住,德国,支票账户,0
26,1700,1,3,288,33,租住,德国,支票账户,1
24,3400,1,2,18,30,租住,德国,无信用卡,1
20,0,0,1,240,9,租住,德国,支票账户,0
44,0,1,2,108,42,租住,德国,支票账户,0
23,1900,0,1,36,12,租住,德国,无信用卡,1
44,0,1,3,66,66,租住,德国,支票账户,1
36,3500,6,8,30,12,租住,德国,无信用卡,0
25,3400,1,3,312,15,缺失,德国,支票账户,1
54,1700,0,1,9,108,缺失,德国,无信用卡,0
29,2300,0,1,21,144,租住,德国,无信用卡,1
39,3000,2,4,108,30,租住,德国,无信用卡,1
38,0,2,4,60,48,租住,德国,支票账户,0
35,0,0,2,72,18,租住,德国,支票账户,0
20,2700,0,1,240,9,租住,德国,无信用卡,1
24,0,0,1,84,24,租住,德国,支票账户,0
24,1900,0,2,30,27,自有,德国,无信用卡,0
46,1500,0,1,144,30,租住,德国,无信用卡,1
39,0,5,7,108,54,租住,德国,支票账户,1
35,0,4,5,60,12,租住,德国,支票账户,0
30,3000,0,2,42,168,租住,德国,无信用卡,1
30,0,2,4,96,21,租住,德国,支票账户,0
25,0,1,3,30,30,租住,德国,支票账户,0
22,1800,0,1,264,66,租住,德国,无信用卡,1
55,3300,1,3,48,48,租住,德国,无信用卡,1
22,1600,1,2,96,48,租住,德国,无信用卡,1
38,3400,2,3,168,27,租住,德国,无信用卡,1
30,0,1,3,54,168,租住,德国,支票账户,0
24,2600,0,1,288,18,租住,德国,无信用卡,0
66,0,0,1,264,66,租住,德国,支票账户,0
51,0,0,2,216,60,租住,德国,支票账户,0
46,0,0,2,240,240,租住,德国,支票账户,0
38,2100,0,2,999,30,租住,德国,无信用卡,1
38,0,1,3,84,30,租住,德国,欧洲Master卡,0
24,2000,0,1,6,42,租住,德国,无信用卡,1
41,0,2,3,18,33,租住,德国,支票账户,1
41,0,2,4,120,240,租住,德国,欧洲Master卡,0
28,1500,1,3,3,6,租住,德国,无信用卡,0
36,0,2,3,21,216,租住,德国,支票账户,0
33,0,1,3,999,36,租住,德国,支票账户,0
21,2100,0,1,264,9,租住,德国,无信用卡,1
20,2600,0,1,264,6,租住,德国,无信用卡,0
19,1000,0,1,240,9,租住,德国,无信用卡,1
26,0,2,4,72,24,租住,德国,支票账户,1
57,0,0,2,999,15,缺失,德国,支票账户,0
37,0,2,4,192,60,租住,德国,支票账户,0
36,2200,1,3,96,6,租住,德国,无信用卡,0
22,0,0,1,48,9,租住,德国,支票账户,1
56,1900,1,3,264,60,租住,德国,无信用卡,0
47,3300,1,3,288,288,租住,德国,无信用卡,0
41,0,2,4,12,30,租住,德国,支票账户,1
40,0,1,2,120,45,租住,德国,支票账户,0
32,0,2,4,66,216,租住,德国,支票账户,0
30,1500,2,4,18,192,租住,德国,无信用卡,0
56,0,0,2,288,6,缺失,德国,支票账户,0
46,0,0,2,6,96,租住,德国,支票账户,0
43,2500,1,2,42,144,租住,德国,无信用卡,1
29,1800,1,3,54,54,租住,德国,无信用卡,1
36,1800,1,2,30,15,租住,德国,无信用卡,0
